batch,instance,budget,timing_basis,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,exact_reference_reused,delta_vs_exact,outcome
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,1,0,72.0,73.0,True,-1.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,2,0,71.0,73.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,0,0,75.0,73.0,True,2.0,exact
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,1,0,71.0,73.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,2,0,75.0,73.0,True,2.0,exact
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,0,0,71.0,73.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,1,0,72.0,73.0,True,-1.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,2,0,71.0,73.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,0,0,71.0,73.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,1,0,70.0,73.0,True,-3.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,2,0,71.0,73.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,0,0,66.0,68.0,True,-2.0,method
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,1,0,68.0,68.0,True,0.0,tie
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,2,0,69.0,68.0,True,1.0,exact
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,0,0,69.0,68.0,True,1.0,exact
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,1,0,69.0,68.0,True,1.0,exact
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,2,0,69.0,68.0,True,1.0,exact
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,0,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,1,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,2,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,0,0,66.0,65.0,True,1.0,exact
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,1,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,2,0,67.0,65.0,True,2.0,exact
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,0,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,1,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,2,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,0,0,64.0,65.0,True,-1.0,method
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,1,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,2,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,0,0,,64.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,1,0,,64.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,2,0,,64.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,0,0,64.0,64.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,1,0,64.0,64.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,2,0,64.0,64.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,0,0,,64.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,1,0,,64.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,2,0,,64.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,0,0,64.0,64.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,1,0,64.0,64.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,2,0,64.0,64.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,0,0,70.0,70.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,1,0,70.0,70.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,2,0,71.0,70.0,True,1.0,exact
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,0,0,70.0,70.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,1,0,69.0,70.0,True,-1.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,2,0,69.0,70.0,True,-1.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,0,0,69.0,70.0,True,-1.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,1,0,69.0,70.0,True,-1.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,2,0,68.0,70.0,True,-2.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,0,0,68.0,70.0,True,-2.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,1,0,66.0,70.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,2,0,66.0,70.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,0,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,1,0,66.0,65.0,True,1.0,exact
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,2,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,0,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,1,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,2,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,0,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,1,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,2,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,0,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,1,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,2,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,0,0,,74.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,1,0,,74.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,2,0,,74.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,0,0,70.0,74.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,1,0,70.0,74.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,2,0,70.0,74.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,0,0,,74.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,1,0,,74.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,2,0,,74.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,0,0,70.0,74.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,1,0,70.0,74.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,2,0,70.0,74.0,True,-4.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,0,0,,69.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,1,0,,69.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,2,0,,69.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,0,0,67.0,69.0,True,-2.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,1,0,67.0,69.0,True,-2.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,2,0,67.0,69.0,True,-2.0,method
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,0,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,1,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,2,0,,65.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,0,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,1,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,2,0,65.0,65.0,True,0.0,tie
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,0,0,,79.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,1,0,,79.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,2,0,,79.0,True,,exact_only
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,0,0,74.0,79.0,True,-5.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,1,0,74.0,79.0,True,-5.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,2,0,74.0,79.0,True,-5.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,0,0,71.0,79.0,True,-8.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,1,0,71.0,79.0,True,-8.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,2,0,72.0,79.0,True,-7.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,0,0,74.0,79.0,True,-5.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,1,0,74.0,79.0,True,-5.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,2,0,74.0,79.0,True,-5.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,0,0,71.0,70.0,True,1.0,exact
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,1,0,71.0,70.0,True,1.0,exact
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,2,0,72.0,70.0,True,2.0,exact
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,0,0,74.0,70.0,True,4.0,exact
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,1,0,74.0,70.0,True,4.0,exact
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,2,0,72.0,70.0,True,2.0,exact
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,0,0,68.0,70.0,True,-2.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,1,0,67.0,70.0,True,-3.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,2,0,69.0,70.0,True,-1.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,0,0,67.0,70.0,True,-3.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,1,0,67.0,70.0,True,-3.0,method
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,2,0,66.0,70.0,True,-4.0,method
